ungeprüfte Rohdaten!;;;
Zeitzone:;UTC+1;;
Stationsname:;Stiefern;;
Stationsnummer:;207993;;
Parameter:;Wassertemperatur;;
Zeitreihenname:;Tagesmittel;;
Werte von:;01.01.2022 00:00:00;;
Werte bis:;31.12.2022 23:59:59;;
Einheit:;°C;;
;;;
Datum;Wert;;
11.06.2022 00:00:00;14.5;;
12.06.2022 00:00:00;17;;
13.06.2022 00:00:00;18.1;;
14.06.2022 00:00:00;15.5;;
15.06.2022 00:00:00;15.3;;
16.06.2022 00:00:00;16.5;;
17.06.2022 00:00:00;17.5;;
18.06.2022 00:00:00;19.1;;
19.06.2022 00:00:00;20.6;;
20.06.2022 00:00:00;20.5;;
21.06.2022 00:00:00;17.4;;
22.06.2022 00:00:00;16.4;;
23.06.2022 00:00:00;16.2;;
24.06.2022 00:00:00;15.7;;
25.06.2022 00:00:00;16;;
26.06.2022 00:00:00;17.8;;
27.06.2022 00:00:00;19.9;;
28.06.2022 00:00:00;19.2;;
29.06.2022 00:00:00;17.7;;
30.06.2022 00:00:00;17.3;;
01.07.2022 00:00:00;18;;
02.07.2022 00:00:00;18.2;;
03.07.2022 00:00:00;19.5;;
04.07.2022 00:00:00;19.3;;
05.07.2022 00:00:00;15.9;;
06.07.2022 00:00:00;15.9;;
07.07.2022 00:00:00;15.3;;
08.07.2022 00:00:00;14.5;;
09.07.2022 00:00:00;14.5;;
10.07.2022 00:00:00;16.1;;
11.07.2022 00:00:00;17.2;;
12.07.2022 00:00:00;17.2;;
13.07.2022 00:00:00;18;;
14.07.2022 00:00:00;19.7;;
15.07.2022 00:00:00;20.7;;
16.07.2022 00:00:00;20;;
17.07.2022 00:00:00;18.9;;
18.07.2022 00:00:00;19.3;;
19.07.2022 00:00:00;20.2;;
20.07.2022 00:00:00;20.9;;
21.07.2022 00:00:00;21.6;;
22.07.2022 00:00:00;22.6;;
23.07.2022 00:00:00;22.7;;
24.07.2022 00:00:00;22.3;;
25.07.2022 00:00:00;21.9;;
26.07.2022 00:00:00;21.1;;
27.07.2022 00:00:00;20.2;;
28.07.2022 00:00:00;20;;
29.07.2022 00:00:00;19.5;;
30.07.2022 00:00:00;19.2;;
31.07.2022 00:00:00;19.4;;
01.08.2022 00:00:00;20;;
02.08.2022 00:00:00;20.4;;
03.08.2022 00:00:00;20.9;;
04.08.2022 00:00:00;21.3;;
05.08.2022 00:00:00;21.9;;
06.08.2022 00:00:00;21.3;;
07.08.2022 00:00:00;20;;
08.08.2022 00:00:00;19.2;;
09.08.2022 00:00:00;19;;
10.08.2022 00:00:00;19.4;;
11.08.2022 00:00:00;18.9;;
12.08.2022 00:00:00;18.8;;
13.08.2022 00:00:00;18.8;;
14.08.2022 00:00:00;18.9;;
15.08.2022 00:00:00;19.5;;
16.08.2022 00:00:00;20.1;;
17.08.2022 00:00:00;20.7;;
18.08.2022 00:00:00;20.9;;
19.08.2022 00:00:00;20.2;;
20.08.2022 00:00:00;19.6;;
21.08.2022 00:00:00;18.7;;
22.08.2022 00:00:00;17.6;;
23.08.2022 00:00:00;16.6;;
24.08.2022 00:00:00;17.5;;
25.08.2022 00:00:00;18.5;;
26.08.2022 00:00:00;19.8;;
27.08.2022 00:00:00;19.6;;
28.08.2022 00:00:00;19.1;;
29.08.2022 00:00:00;19;;
30.08.2022 00:00:00;18.4;;
31.08.2022 00:00:00;17;;
01.09.2022 00:00:00;16;;
02.09.2022 00:00:00;15.6;;
03.09.2022 00:00:00;15.9;;
04.09.2022 00:00:00;16.5;;
05.09.2022 00:00:00;17.3;;
06.09.2022 00:00:00;17.9;;
07.09.2022 00:00:00;18.1;;
08.09.2022 00:00:00;18.1;;
09.09.2022 00:00:00;17.4;;
10.09.2022 00:00:00;16.7;;
11.09.2022 00:00:00;16.3;;
12.09.2022 00:00:00;16.2;;
13.09.2022 00:00:00;16.4;;
14.09.2022 00:00:00;16.2;;
15.09.2022 00:00:00;16.4;;
16.09.2022 00:00:00;15.8;;
17.09.2022 00:00:00;14.3;;
18.09.2022 00:00:00;13.4;;
19.09.2022 00:00:00;13;;
20.09.2022 00:00:00;13.2;;
21.09.2022 00:00:00;12.8;;
22.09.2022 00:00:00;12.7;;
23.09.2022 00:00:00;12.7;;
24.09.2022 00:00:00;12.6;;
25.09.2022 00:00:00;13.5;;
26.09.2022 00:00:00;14.2;;
27.09.2022 00:00:00;13.8;;
28.09.2022 00:00:00;13.1;;
29.09.2022 00:00:00;13.5;;
30.09.2022 00:00:00;13.8;;
01.10.2022 00:00:00;14.1;;
02.10.2022 00:00:00;13.5;;
03.10.2022 00:00:00;13.2;;
04.10.2022 00:00:00;13.3;;
05.10.2022 00:00:00;12.7;;
06.10.2022 00:00:00;13;;
07.10.2022 00:00:00;13.3;;
08.10.2022 00:00:00;13.8;;
09.10.2022 00:00:00;13.6;;
10.10.2022 00:00:00;12.8;;
11.10.2022 00:00:00;12.8;;
12.10.2022 00:00:00;13.1;;
